bus-stop     公共汽车站

busy         忙的
butcher      肉商，屠夫
butter       奶油

buy          购买，雇用，博得

by the way   顺便

cabbage      卷心菜

cake         蛋糕，点心

call         访问，打电话

Canada       加拿大

Canadian     加拿大人

car          汽车
card         明信片，卡片
careful      小心的
carpet       地毯

carry        搬，运送，携带

case         箱，柜，盒，情况
cat          猫

catch        抓住，赶上
certainly    当然，一定

certificate 证书

chair        椅子
chalk        粉笔

change       零钱；变化，交换
charge       罚款，指控
cheap        便宜的，廉价的

cheer        高兴，振作

cheer up     振作起来

cheese       干酪，乳酪

chemist      药店，化学家

chicken      小鸡，(美)鸡

children     孩子们

China        中国

Chinese      中国人，汉语

chocolate    巧克力

choice       精选的；挑选

church       教堂
cigaret      香(纸，卷)烟
cinema       电影院
city         城市

clean        干净的

clerk        办事员，职员

clever       聪明的

climate      气候

climb        攀登，爬
cloakroom    存放衣帽间
cloud        云
coat         上衣，外套

coffee       咖啡

coin         硬币
cold         冷的，冷淡；冷
colour       颜色
come         来

compact      带镜子的小粉盒

company      公司
compartment 列车车厢分隔间

conductor    (公车)售票员

conversation 会话，谈话

cook         煮，烧，烹调
cooker       炉灶，炊具

correct      改正；正确的
cost         花费，支付

count        点，数，计数

counter      柜台
country      国家，乡间

cover        覆盖；盖子

crash        碰撞
crowd        群，人群

cry          哭，叫喊
cup          杯子，杯状物

cupboard     碗橱

curiously    好奇地
customer     顾客，买主

customs      海关的；定做的

cut          切、割
dad          爸爸

dairy        牛奶场，奶品店
Danish       丹麦的

daughter     女儿

dear         亲爱的
December     12月

Denmark      丹麦

dentist      牙医

depend       依靠

deposit      保证金

describe     描述
desk         书桌

dictionary   词典
difficult    困难的，艰苦的

dinner       (一天中的)主餐

dirty        脏的
dish         盘子
do           做，从事；完成
dog          狗

door         门，户
down         往下
dream        做梦；梦

dress        服装(主指外衣)
drink        喝，饮

drive        驱使，驾车

drop         摔下，使落下
dry          干的，干燥的
during       在…期间

dust         拂去灰尘 ；灰尘

Dutch        荷兰的

ear-ache     耳痛
early        早；初期的
east         东方；东方的
easy         容易的

eat          吃，喝(汤)
egg          蛋，鸡蛋

Egypt        埃及

ehint        啊，嗯(惊奇等)

either       二者之一；也
electric     电的
embarrassed 窘迫，尴尬
employee     雇员

empty        空的；使空

engineer     工程师

England      英格兰，英国

English      英国的；英语

enjoy        享受…之乐趣
enjoy oneself过得快乐

enough       充足，充分
enter        进入，加入

envelope     信封
evening      傍晚，晚间；晚会

everything   一切事物

examination  考试，检查
except       除…之外

excite       使兴奋，使激动
exciting     令人兴奋的

excuse       原谅；辩解

expensive    昂贵的;耗费巨大的

extra        外加的
face         脸，面子，面貌
fail         失败，不及格

fall         落下，倒下，跌倒

family       家庭

famous       著名的

fancy        想想，设想

fare         费，旅客票价

fashion      式样，流行式样

fat          胖的人

father       父
favourite    特别喜爱的

February     2月

feel         触摸，感觉

fellow       人，伙伴
few          少数的，很少

film         胶卷，电影
find         找到，发现

fine         好的

finish       结束；终止
Finland      芬兰
Finnish      芬兰语；芬兰的

floor        地板

flower       花
flu          流行性感冒

fly          飞，飞行

for sale     待售

forget vt.   遗忘，想不起
fork         叉

France       法国

French       法国的
fresh        新鲜的
Friday       星期五

friend       朋友
from         从，自

front        前部，正面
fruit        水果
full         满的

funny        有趣的，滑稽的

future       将来的，未来的

garage       汽车修理厂
garden       园子，庭园
Geneva       日内瓦
gentleman    绅士，阁下

German      德国的

